"id";"nama_kel";"kecamatan";"laki_laki";"perempuan";"KK";"rw";"rt";"islam";"kristen";"katholik";"hindu";"budha";"konghuchu";"lainya";"belum_kawin_lakilaki";"kawin_lakilaki";"cerai_hidup_lakilaki";"cerai_mati_lakilaki";"belum_kawin_perempuan";"kawin_perempuan";"cerai_hidup_perempuan";"cerai_mati_perempuan";"belumsekolah_lakilaki";"belumtamatSD_lakilaki";"sd/sederajat_lakilaki";"smp/sederajat_lakilaki";"sma/sederajat_lakilaki";"di/dii_lakilaki";"diii_lakilaki";"s1/div_lakilaki";"s2_lakilaki";"s3_lakilaki";"belumsekolah_perempuan";"belumtamatSD_perempuan";"sd/sederajat_perempuan";"smp/sederajat_perempuan";"sma/sederajat_perempuan";"di/dii_perempuan";"diii_perempuan";"s1/div_perempuan";"s2_perempuan";"s3_perempuan";"lakilaki_AKUNTAN";"lakilaki_ANGGOTA_DPRD_KABUPATEN/KOTA";"lakilaki_ANGGOTA_DPR-RI";"lakilaki_APOTEKER";"lakilaki_ARSITEK";"lakilaki_BELUM/TIDAK_BEKERJA";"lakilaki_BIARAWATI";"lakilaki_BIDAN";"lakilaki_BURUH_HARIAN_LEPAS";"lakilaki_BURUH_NELAYAN/PERIKANAN";"lakilaki_BURUH_PETERNAKAN";"lakilaki_BURUH_TANI/PERKEBUNAN";"lakilaki_DOKTER";"lakilaki_DOSEN";"lakilaki_GURU";"lakilaki_IMAM_MESJID";"lakilaki_INDUSTRI";"lakilaki_JURU_MASAK";"lakilaki_KARYAWAN_BUMD";"lakilaki_KARYAWAN_BUMN";"lakilaki_KARYAWAN_HONORER";"lakilaki_KARYAWAN_SWASTA";"lakilaki_KEPOLISIAN_RI";"lakilaki_KONSTRUKSI";"lakilaki_KONSULTAN";"lakilaki_LAINNYA";"lakilaki_MEKANIK";"lakilaki_MENGURUS_RUMAH_TANGGA";"lakilaki_NELAYAN/PERIKANAN";"lakilaki_NOTARIS";"lakilaki_PARAJI";"lakilaki_PASTOR";"lakilaki_PEDAGANG";"lakilaki_PEGAWAI_NEGERI_SIPIL";"lakilaki_PELAJAR/MAHASISWA";"lakilaki_PELAUT";"lakilaki_PEMBANTU_RUMAH_TANGGA";"lakilaki_PENATA_BUSANA";"lakilaki_PENATA_RAMBUT";"lakilaki_PENATA_RIAS";"lakilaki_PENDETA";"lakilaki_PENELITI";"lakilaki_PENGACARA";"lakilaki_PENSIUNAN";"lakilaki_PENTERJEMAH";"lakilaki_PENYIAR_RADIO";"lakilaki_PERANCANG_BUSANA";"lakilaki_PERANGKAT_DESA";"lakilaki_PERAWAT";"lakilaki_PERDAGANGAN";"lakilaki_PETANI/PEKEBUN";"lakilaki_PETERNAK";"lakilaki_PIALANG";"lakilaki_PILOT";"lakilaki_PSIKIATER/PSIKOLOG";"lakilaki_SENIMAN";"lakilaki_SOPIR";"lakilaki_TABIB";"lakilaki_TENTARA_NASIONAL_INDONESIA";"lakilaki_TRANSPORTASI";"lakilaki_TUKANG_BATU";"lakilaki_TUKANG_CUKUR";"lakilaki_TUKANG_GIGI";"lakilaki_TUKANG_JAHIT";"lakilaki_TUKANG_KAYU";"lakilaki_TUKANG_LAS/PANDAI_BESI";"lakilaki_TUKANG_LISTRIK";"lakilaki_TUKANG_SOL_SEPATU";"lakilaki_USTADZ/MUBALIGH";"lakilaki_WAKIL_WALIKOTA";"lakilaki_WALIKOTA";"lakilaki_WARTAWAN";"lakilaki_WIRASWASTA";"perempuan_AKUNTAN";"perempuan_ANGGOTA_DPRD_KABUPATEN/KOTA";"perempuan_ANGGOTA_DPR-RI";"perempuan_APOTEKER";"perempuan_ARSITEK";"perempuan_BELUM/TIDAK_BEKERJA";"perempuan_BIARAWATI";"perempuan_BIDAN";"perempuan_BURUH_HARIAN_LEPAS";"perempuan_BURUH_NELAYAN/PERIKANAN";"perempuan_BURUH_PETERNAKAN";"perempuan_BURUH_TANI/PERKEBUNAN";"perempuan_DOKTER";"perempuan_DOSEN";"perempuan_GURU";"perempuan_IMAM_MESJID";"perempuan_INDUSTRI";"perempuan_JURU_MASAK";"perempuan_KARYAWAN_BUMD";"perempuan_KARYAWAN_BUMN";"perempuan_KARYAWAN_HONORER";"perempuan_KARYAWAN_SWASTA";"perempuan_KEPOLISIAN_RI";"perempuan_KONSTRUKSI";"perempuan_KONSULTAN";"perempuan_LAINNYA";"perempuan_MEKANIK";"perempuan_MENGURUS_RUMAH_TANGGA";"perempuan_NELAYAN/PERIKANAN";"perempuan_NOTARIS";"perempuan_PARAJI";"perempuan_PASTOR";"perempuan_PEDAGANG";"perempuan_PEGAWAI_NEGERI_SIPIL";"perempuan_PELAJAR/MAHASISWA";"perempuan_PELAUT";"perempuan_PEMBANTU_RUMAH_TANGGA";"perempuan_PENATA_BUSANA";"perempuan_PENATA_RAMBUT";"perempuan_PENATA_RIAS";"perempuan_PENDETA";"perempuan_PENELITI";"perempuan_PENGACARA";"perempuan_PENSIUNAN";"perempuan_PENTERJEMAH";"perempuan_PENYIAR_RADIO";"perempuan_PERANCANG_BUSANA";"perempuan_PERANGKAT_DESA";"perempuan_PERAWAT";"perempuan_PERDAGANGAN";"perempuan_PETANI/PEKEBUN";"perempuan_PETERNAK";"perempuan_PIALANG";"perempuan_PILOT";"perempuan_PSIKIATER/PSIKOLOG";"perempuan_SENIMAN";"perempuan_SOPIR";"perempuan_TABIB";"perempuan_TENTARA_NASIONAL_INDONESIA";"perempuan_TRANSPORTASI";"perempuan_TUKANG_BATU";"perempuan_TUKANG_CUKUR";"perempuan_TUKANG_GIGI";"perempuan_TUKANG_JAHIT";"perempuan_TUKANG_KAYU";"perempuan_TUKANG_LAS/PANDAI_BESI";"perempuan_TUKANG_LISTRIK";"perempuan_TUKANG_SOL_SEPATU";"perempuan_USTADZ/MUBALIGH";"perempuan_WAKIL_WALIKOTA";"perempuan_WALIKOTA";"perempuan_WARTAWAN";"perempuan_WIRASWASTA"
"15";"Setianagara";"Cibeureum";"2644";"2726";"1798";"7";"24";"5370";"0";"0";"0";"0";"0";"0";"1278";"1297";"27";"42";"1102";"1313";"69";"242";"405";"241";"679";"476";"647";"6";"41";"128";"20";"1";"433";"252";"803";"518";"503";"17";"32";"156";"10";"2";"0";"0";"0";"1";"0";"516";"0";"0";"885";"0";"0";"4";"1";"5";"25";"0";"0";"0";"3";"7";"16";"196";"2";"0";"0";"3";"0";"1";"0";"0";"0";"0";"26";"43";"525";"0";"0";"0";"0";"0";"0";"0";"1";"41";"0";"0";"0";"0";"3";"6";"7";"0";"0";"0";"0";"0";"4";"0";"9";"1";"1";"1";"0";"15";"0";"0";"0";"0";"8";"0";"0";"1";"287";"0";"0";"0";"0";"0";"501";"0";"3";"53";"0";"0";"2";"4";"1";"46";"0";"0";"0";"1";"3";"17";"64";"0";"0";"0";"0";"0";"1334";"0";"0";"0";"0";"7";"55";"561";"0";"2";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"40"
"16";"Setiaratu";"Cibeureum";"3987";"3798";"2546";"10";"39";"7766";"19";"0";"0";"0";"0";"0";"2005";"1858";"61";"63";"1563";"1871";"97";"267";"641";"368";"901";"665";"1";"9";"58";"227";"30";"1";"582";"374";"1";"586";"867";"25";"79";"246";"21";"0";"0";"0";"0";"0";"0";"794";"0";"0";"1252";"0";"0";"12";"2";"5";"15";"0";"0";"0";"2";"25";"14";"323";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"87";"882";"0";"0";"0";"0";"0";"0";"0";"2";"60";"0";"0";"0";"0";"2";"13";"1";"0";"0";"0";"0";"0";"3";"0";"69";"0";"0";"1";"0";"4";"1";"0";"0";"0";"9";"0";"0";"0";"379";"0";"0";"0";"2";"0";"664";"0";"8";"74";"0";"0";"1";"4";"8";"32";"0";"0";"0";"3";"8";"34";"163";"0";"0";"0";"1";"0";"1824";"0";"0";"0";"0";"3";"78";"814";"0";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"0";"0";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"34"
"17";"Argasari";"Cihideung";"6024";"5934";"4004";"9";"63";"11430";"351";"98";"6";"67";"6";"0";"3036";"2741";"152";"95";"2436";"2745";"267";"486";"918";"613";"1";"973";"2";"46";"80";"284";"17";"1";"885";"602";"1";"1";"2";"64";"82";"267";"16";"0";"0";"0";"0";"0";"1";"1157";"0";"0";"1532";"1";"0";"4";"7";"4";"8";"1";"0";"0";"3";"20";"27";"429";"7";"0";"2";"0";"5";"2";"0";"0";"0";"0";"120";"62";"1376";"0";"0";"0";"0";"2";"0";"0";"1";"66";"0";"1";"0";"0";"3";"99";"4";"1";"0";"0";"0";"2";"27";"0";"5";"1";"1";"1";"0";"6";"1";"0";"0";"0";"4";"0";"0";"3";"1028";"0";"0";"0";"0";"0";"1041";"0";"7";"178";"0";"0";"0";"4";"5";"33";"0";"0";"0";"2";"3";"30";"240";"0";"0";"0";"0";"0";"2739";"0";"1";"0";"0";"58";"60";"1251";"0";"7";"0";"1";"2";"0";"0";"0";"28";"0";"0";"0";"0";"7";"29";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"202"
"18";"Cilembang";"Cihideung";"7733";"7713";"5062";"18";"89";"14499";"745";"110";"0";"67";"23";"2";"3915";"3543";"162";"113";"3261";"3544";"320";"588";"1";"786";"2";"1";"2";"35";"87";"336";"25";"2";"1";"790";"2";"1";"2";"47";"109";"321";"19";"1";"0";"0";"0";"0";"0";"1501";"0";"0";"1879";"0";"0";"4";"4";"2";"15";"0";"0";"0";"2";"33";"31";"575";"14";"1";"0";"1";"4";"2";"1";"0";"0";"0";"294";"71";"1788";"0";"0";"0";"1";"0";"0";"0";"0";"57";"0";"0";"0";"0";"3";"123";"7";"0";"0";"0";"0";"10";"16";"0";"7";"0";"2";"0";"0";"1";"2";"4";"0";"0";"6";"0";"0";"2";"1270";"0";"0";"0";"0";"0";"1313";"0";"8";"156";"0";"0";"0";"3";"5";"32";"0";"0";"0";"2";"12";"25";"322";"0";"0";"0";"1";"0";"3588";"0";"1";"0";"0";"104";"81";"1724";"0";"7";"0";"1";"2";"0";"0";"0";"34";"0";"0";"0";"0";"5";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"228"
"19";"Nagarawangi";"Cihideung";"3367";"3349";"2374";"13";"50";"5969";"564";"113";"0";"64";"6";"0";"1690";"1535";"79";"63";"1315";"1542";"171";"321";"480";"280";"535";"529";"1";"31";"73";"279";"14";"1";"423";"288";"666";"542";"1";"36";"90";"253";"8";"0";"0";"0";"0";"1";"0";"598";"0";"0";"665";"1";"0";"1";"5";"2";"9";"0";"0";"0";"4";"19";"21";"428";"5";"0";"1";"0";"2";"1";"0";"1";"0";"0";"44";"56";"733";"0";"0";"0";"0";"0";"1";"0";"1";"43";"0";"0";"0";"0";"1";"44";"0";"0";"1";"0";"0";"0";"12";"0";"4";"0";"0";"0";"0";"3";"0";"1";"2";"0";"4";"0";"0";"0";"653";"0";"0";"0";"3";"0";"502";"0";"4";"43";"0";"0";"0";"4";"2";"21";"0";"0";"0";"2";"7";"26";"244";"1";"0";"0";"0";"0";"1538";"0";"1";"0";"0";"17";"59";"698";"0";"2";"0";"0";"0";"1";"0";"0";"32";"0";"0";"0";"0";"2";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"122"
"20";"Tugujaya";"Cihideung";"5685";"5469";"3668";"13";"59";"10838";"221";"67";"0";"23";"5";"0";"2853";"2638";"111";"83";"2237";"2657";"203";"372";"903";"587";"1";"903";"2";"27";"52";"300";"32";"1";"808";"547";"1";"904";"1";"36";"83";"289";"15";"0";"0";"0";"0";"0";"0";"1069";"0";"0";"1668";"0";"0";"4";"4";"8";"16";"0";"0";"0";"7";"15";"21";"471";"9";"0";"1";"0";"4";"2";"0";"0";"0";"0";"64";"85";"1292";"0";"0";"0";"0";"0";"1";"0";"0";"38";"0";"0";"0";"0";"1";"49";"5";"0";"0";"0";"0";"1";"26";"0";"11";"0";"0";"0";"0";"1";"1";"0";"1";"1";"10";"0";"0";"0";"799";"0";"0";"0";"2";"0";"908";"0";"12";"96";"0";"0";"1";"4";"1";"24";"0";"1";"0";"3";"5";"39";"242";"0";"0";"0";"0";"0";"2658";"0";"1";"0";"0";"35";"77";"1194";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"0";"0";"5";"12";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"111"
"21";"Tuguraja";"Cihideung";"11860";"11418";"7454";"15";"85";"22654";"524";"66";"0";"33";"1";"0";"6089";"5369";"225";"177";"4863";"5408";"401";"746";"2";"1";"3";"2";"3";"50";"133";"447";"23";"2";"2";"1";"3";"2";"3";"75";"146";"422";"17";"2";"0";"0";"0";"1";"1";"2436";"0";"0";"3135";"0";"2";"5";"4";"3";"60";"0";"1";"0";"8";"37";"39";"929";"23";"2";"0";"3";"9";"3";"0";"0";"0";"0";"392";"121";"2730";"0";"0";"0";"0";"1";"0";"0";"4";"87";"1";"0";"0";"0";"4";"123";"9";"0";"0";"0";"0";"2";"64";"0";"12";"2";"0";"0";"0";"3";"0";"2";"2";"0";"11";"0";"0";"4";"1585";"0";"0";"0";"0";"0";"2126";"0";"11";"219";"0";"0";"2";"7";"2";"69";"0";"0";"0";"2";"5";"53";"428";"0";"0";"0";"1";"0";"5456";"0";"1";"0";"0";"127";"108";"2460";"0";"3";"1";"1";"2";"0";"0";"0";"42";"0";"1";"0";"0";"13";"37";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"237"
"22";"Yudanagara";"Cihideung";"2176";"2337";"1657";"11";"50";"2964";"1025";"270";"2";"222";"30";"0";"1043";"1018";"55";"60";"968";"1021";"97";"251";"255";"147";"232";"312";"904";"18";"68";"231";"8";"1";"244";"188";"340";"372";"879";"26";"60";"224";"4";"0";"0";"0";"0";"1";"0";"330";"0";"0";"234";"0";"0";"0";"4";"0";"4";"0";"0";"0";"1";"4";"8";"294";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"33";"25";"452";"0";"0";"0";"0";"0";"4";"0";"1";"24";"0";"2";"0";"0";"0";"33";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"708";"0";"0";"0";"0";"0";"320";"0";"1";"17";"0";"0";"0";"9";"0";"14";"0";"0";"0";"3";"4";"8";"181";"0";"0";"0";"0";"0";"1067";"0";"0";"0";"0";"13";"19";"472";"0";"4";"0";"1";"0";"2";"0";"0";"11";"0";"0";"0";"0";"1";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"180"
"23";"Cipedes";"Cipedes";"8127";"7789";"5401";"18";"92";"15684";"165";"54";"0";"7";"6";"0";"4123";"3682";"187";"135";"3130";"3678";"264";"717";"1";"814";"2";"1";"2";"44";"134";"556";"37";"1";"1";"709";"2";"1";"2";"89";"169";"464";"14";"1";"0";"0";"0";"1";"0";"1503";"0";"0";"2146";"0";"0";"3";"5";"7";"20";"0";"0";"0";"12";"45";"33";"714";"85";"0";"2";"0";"2";"3";"0";"0";"0";"0";"172";"137";"1875";"3";"1";"0";"0";"0";"0";"0";"3";"88";"0";"0";"0";"0";"2";"23";"7";"0";"0";"0";"0";"1";"16";"0";"22";"1";"0";"0";"0";"1";"0";"0";"1";"0";"4";"0";"1";"3";"1185";"0";"0";"0";"3";"1";"1271";"0";"9";"191";"0";"0";"1";"8";"4";"53";"0";"0";"0";"5";"20";"37";"342";"4";"0";"0";"0";"0";"3714";"0";"1";"0";"0";"49";"131";"1645";"0";"1";"0";"0";"2";"0";"0";"0";"52";"0";"0";"0";"0";"11";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1";"223"
"24";"Nagarasari";"Cipedes";"9870";"9656";"6519";"19";"96";"19432";"76";"17";"0";"1";"0";"0";"4972";"4571";"157";"170";"4058";"4510";"326";"762";"2";"952";"2";"2";"3";"56";"148";"511";"54";"4";"1";"845";"2";"2";"3";"63";"171";"471";"22";"0";"0";"0";"0";"2";"1";"1910";"0";"0";"2756";"0";"1";"15";"8";"9";"43";"0";"1";"0";"12";"54";"40";"906";"10";"0";"1";"0";"1";"5";"2";"1";"0";"0";"192";"127";"2130";"0";"0";"0";"1";"0";"0";"1";"3";"123";"2";"0";"0";"0";"0";"22";"15";"0";"0";"0";"0";"1";"37";"0";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";"0";"7";"1417";"0";"0";"0";"1";"0";"1685";"0";"14";"351";"0";"0";"2";"10";"7";"79";"0";"0";"0";"4";"12";"47";"429";"2";"0";"0";"0";"0";"4422";"0";"0";"0";"0";"88";"113";"2035";"0";"2";"0";"0";"0";"0";"0";"0";"71";"5";"0";"0";"0";"0";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"265"
"25";"Panglayungan";"Cipedes";"10883";"10453";"7045";"21";"95";"20756";"432";"115";"1";"26";"5";"1";"5460";"5041";"209";"173";"4345";"5037";"341";"730";"2";"1";"2";"1";"3";"60";"212";"892";"116";"5";"2";"965";"3";"1";"3";"83";"259";"765";"55";"0";"0";"3";"0";"4";"0";"2166";"0";"0";"2289";"0";"1";"7";"17";"14";"34";"0";"0";"0";"21";"121";"36";"974";"47";"0";"4";"0";"0";"6";"1";"0";"0";"0";"283";"241";"2478";"3";"0";"0";"1";"0";"0";"0";"2";"180";"0";"0";"0";"0";"6";"41";"7";"0";"0";"1";"0";"5";"28";"0";"12";"3";"0";"0";"0";"7";"1";"0";"0";"0";"3";"0";"0";"6";"1829";"0";"0";"0";"3";"0";"1781";"0";"16";"207";"0";"0";"3";"15";"7";"91";"0";"0";"0";"12";"57";"46";"520";"3";"0";"0";"0";"0";"4664";"0";"1";"0";"0";"95";"198";"2287";"0";"6";"0";"0";"0";"0";"0";"0";"76";"0";"0";"0";"0";"13";"20";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"329"
"26";"Sukamanah";"Cipedes";"13081";"12544";"8397";"26";"148";"25489";"117";"1";"1";"17";"0";"0";"6731";"5945";"211";"194";"5236";"5921";"389";"998";"2";"1";"3";"2";"3";"53";"186";"745";"68";"5";"2";"1";"3";"2";"3";"85";"235";"716";"33";"0";"0";"0";"0";"2";"0";"2535";"0";"0";"3696";"1";"1";"19";"11";"18";"44";"0";"1";"0";"18";"83";"42";"969";"39";"0";"1";"0";"2";"2";"0";"2";"0";"0";"181";"207";"2990";"0";"0";"0";"1";"0";"0";"0";"1";"174";"0";"0";"0";"0";"4";"28";"10";"1";"0";"0";"0";"2";"49";"0";"12";"1";"0";"0";"0";"9";"13";"0";"1";"0";"11";"0";"0";"2";"1898";"0";"0";"0";"2";"0";"2254";"0";"12";"324";"0";"0";"1";"17";"8";"105";"0";"0";"0";"13";"43";"50";"535";"3";"0";"0";"0";"0";"5821";"0";"0";"1";"0";"78";"230";"2652";"0";"3";"0";"0";"1";"0";"0";"0";"88";"0";"0";"0";"0";"17";"9";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"274"
"27";"Indihiang";"Indihiang";"4499";"4547";"2931";"12";"55";"8980";"59";"7";"0";"0";"0";"0";"2262";"2063";"112";"62";"1957";"2066";"192";"332";"680";"462";"958";"694";"1";"33";"74";"364";"42";"2";"745";"408";"1";"666";"1";"66";"116";"332";"23";"3";"0";"0";"0";"0";"2";"823";"0";"0";"1083";"0";"3";"9";"8";"9";"20";"0";"0";"0";"9";"35";"23";"407";"24";"0";"1";"0";"0";"0";"0";"0";"0";"0";"101";"107";"1045";"3";"0";"0";"0";"0";"0";"1";"1";"67";"0";"0";"0";"1";"4";"14";"7";"2";"0";"0";"1";"3";"24";"0";"5";"0";"0";"0";"0";"0";"0";"2";"0";"0";"6";"0";"0";"3";"646";"0";"0";"0";"3";"0";"892";"0";"12";"72";"0";"0";"2";"7";"3";"44";"0";"0";"0";"8";"18";"34";"199";"2";"0";"0";"0";"0";"1946";"0";"0";"0";"0";"73";"115";"963";"0";"0";"0";"0";"1";"0";"0";"0";"44";"0";"0";"0";"0";"6";"8";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"93"
"28";"Panyingkiran";"Indihiang";"4360";"4250";"2776";"11";"43";"8541";"50";"15";"0";"4";"0";"0";"2253";"1945";"98";"64";"1793";"1927";"162";"368";"674";"447";"986";"704";"1";"35";"65";"273";"27";"3";"656";"372";"1";"652";"1";"43";"100";"227";"22";"1";"0";"1";"0";"1";"1";"857";"0";"0";"1092";"1";"1";"5";"1";"5";"9";"0";"0";"0";"8";"33";"18";"439";"14";"1";"0";"0";"3";"0";"0";"0";"0";"0";"106";"89";"1015";"2";"0";"0";"0";"0";"0";"0";"1";"62";"0";"0";"0";"0";"3";"29";"3";"1";"0";"0";"0";"1";"35";"0";"5";"2";"1";"0";"0";"9";"4";"0";"2";"1";"3";"0";"0";"1";"495";"0";"0";"0";"1";"0";"785";"0";"9";"79";"0";"0";"1";"2";"1";"24";"0";"0";"0";"10";"6";"12";"183";"0";"0";"0";"1";"0";"1937";"0";"0";"1";"0";"62";"87";"915";"0";"2";"0";"1";"1";"0";"0";"0";"34";"0";"0";"0";"0";"6";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"77"
"29";"Parakannyasag";"Indihiang";"5387";"5202";"3342";"15";"66";"10495";"62";"32";"0";"0";"0";"0";"2775";"2430";"103";"79";"2219";"2435";"172";"376";"899";"547";"1";"804";"2";"33";"85";"346";"32";"3";"806";"520";"1";"858";"1";"51";"88";"290";"14";"0";"0";"1";"0";"1";"0";"1103";"0";"0";"1297";"1";"1";"22";"3";"8";"28";"0";"0";"0";"5";"32";"19";"554";"18";"3";"0";"0";"2";"2";"0";"0";"0";"0";"88";"136";"1243";"0";"0";"0";"0";"0";"0";"0";"1";"95";"0";"0";"0";"1";"3";"21";"7";"1";"0";"0";"0";"2";"30";"0";"6";"0";"0";"0";"0";"4";"0";"1";"1";"0";"7";"0";"0";"0";"640";"0";"0";"0";"4";"0";"960";"0";"6";"88";"0";"1";"5";"2";"2";"64";"0";"0";"0";"0";"9";"24";"220";"0";"1";"0";"0";"0";"2415";"0";"0";"0";"0";"20";"95";"1137";"0";"0";"0";"0";"2";"0";"0";"0";"34";"0";"0";"0";"0";"4";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"96"
"30";"Sirnagalih";"Indihiang";"4625";"4522";"3145";"13";"50";"9086";"49";"12";"0";"0";"0";"0";"2301";"2145";"95";"84";"1796";"2115";"168";"443";"814";"471";"912";"691";"1";"36";"98";"328";"34";"0";"779";"398";"1";"687";"1";"64";"119";"306";"10";"0";"0";"0";"0";"2";"0";"1027";"0";"0";"905";"0";"4";"30";"0";"9";"26";"0";"1";"0";"4";"37";"27";"482";"18";"0";"3";"3";"4";"2";"0";"0";"0";"0";"99";"138";"957";"1";"0";"0";"0";"0";"0";"0";"2";"65";"0";"0";"0";"0";"0";"48";"16";"2";"0";"0";"0";"0";"12";"0";"8";"4";"0";"0";"1";"3";"0";"0";"1";"0";"1";"0";"0";"5";"678";"0";"0";"0";"4";"0";"931";"0";"5";"63";"0";"1";"11";"0";"5";"56";"0";"0";"0";"6";"7";"36";"223";"1";"0";"0";"1";"0";"2052";"0";"0";"1";"0";"32";"107";"825";"0";"1";"0";"0";"0";"0";"0";"0";"51";"0";"0";"0";"0";"5";"12";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"80"
"31";"Sukamajukaler";"Indihiang";"5430";"5229";"3358";"17";"72";"10640";"8";"11";"0";"0";"0";"0";"2691";"2574";"97";"68";"2160";"2628";"148";"293";"841";"546";"1";"1";"1";"14";"65";"276";"30";"2";"838";"454";"1";"1";"1";"32";"97";"318";"19";"1";"0";"1";"0";"1";"0";"1073";"0";"0";"1490";"1";"1";"40";"2";"6";"19";"0";"1";"0";"8";"34";"33";"652";"14";"0";"2";"1";"2";"1";"0";"1";"0";"0";"88";"99";"1207";"0";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"0";"0";"5";"19";"6";"1";"0";"0";"0";"0";"26";"0";"11";"2";"1";"0";"0";"1";"1";"2";"0";"0";"3";"0";"0";"2";"522";"0";"0";"0";"2";"0";"1008";"0";"11";"104";"0";"0";"6";"1";"6";"35";"0";"0";"0";"3";"6";"39";"265";"0";"0";"0";"0";"0";"2432";"0";"0";"0";"0";"15";"118";"1092";"0";"0";"0";"1";"0";"0";"0";"0";"17";"0";"0";"0";"0";"8";"4";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"51"
"32";"Sukamajukidul";"Indihiang";"5204";"5072";"3647";"13";"70";"10237";"33";"6";"0";"0";"0";"0";"2470";"2515";"111";"108";"1982";"2452";"167";"471";"823";"497";"1";"890";"1";"22";"81";"279";"24";"2";"799";"437";"1";"878";"1";"56";"84";"219";"8";"1";"0";"0";"0";"2";"1";"1039";"0";"0";"1260";"3";"0";"57";"4";"5";"20";"0";"0";"0";"4";"18";"20";"539";"11";"0";"0";"0";"5";"6";"1";"0";"0";"0";"170";"93";"1052";"0";"0";"0";"0";"0";"0";"0";"1";"73";"0";"1";"0";"0";"5";"61";"25";"0";"1";"0";"0";"1";"32";"0";"4";"6";"0";"2";"0";"4";"3";"0";"0";"0";"8";"0";"0";"0";"667";"0";"0";"0";"6";"0";"959";"0";"12";"90";"0";"0";"6";"2";"0";"38";"0";"0";"0";"2";"3";"31";"210";"2";"1";"0";"0";"0";"2499";"0";"0";"1";"0";"39";"73";"968";"0";"3";"0";"0";"1";"0";"0";"0";"32";"0";"0";"0";"0";"8";"6";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"72"
